bloc,groupe,symbole,nom,Z,utilisation,usage_epistemique,multisecteurs,secteurs
S,1 (Alcalins),H,Hydrogène,1,Convertir → piles → conversion électrochimique chimie→électricité,Modèle atomique,EN → énergie (conversion/stockage/transport) Alimenter → carburants → vecteurs énergétiques par réaction Sonde → spectres → spectroscopie CHI → chimie/procédés (réactions/catalyse) Transformer → chimie → transformations par réactions/procédés Modèle → observables → cosmologie SPA → spatial/cryo (extrêmes/basse T) NUM → numérique/capteurs (instrumentation) RES → recherche fondamentale,CHI;EN;NUM;RES;SPA
S,Gaz noble,He,Hélium,2,Refroidir → cryogénie → techniques basse température,Système modèle → transport sans viscosité → superfluidité,SPA → spatial/cryo (basse T) Porter → ballons → enveloppes gonflées gaz (portage/élévation) Modèle → états quantifiés → physique quantique NUM → numérique/capteurs (instrumentation) EN → énergie (cryogénie systèmes) RES → recherche fondamentale,EN;NUM;RES;SPA
S,1 (Alcalins),Li,Lithium,3,Stocker → batteries → stockage électrochimique réversible,Modèle → transition → phases,EN → énergie (conversion/stockage/transport) Structurer → céramiques → matériaux inorganiques consolidés Modèle → mécanismes → stockage d’énergie MAT → matériaux (structure/propriétés) (frittage) NUM → numérique/capteurs (composants) RES → recherche fondamentale,EN;MAT;NUM;RES
S,2 (Alcalino-terr,Be,Béryllium,4,Structurer → alliages → métallurgie multi-éléments (microstructure),Sonde → atténuation → transparence X,MAT → matériaux (métallurgie) eux) Sonder → rayons x → photons X pour imagerie/sonde matière Modèle → structure–propriété → matériaux NUM → numérique/capteurs (imagerie/sondes) DEF → défense/sûreté (protection) SPA → spatial/cryo (contraintes extrêmes) RES → recherche fondamentale,DEF;MAT;NUM;RES;SPA
P,13,B,Bore,5,Structurer → verres (matériaux amorphes modifiés),Modèle → liaisons hydrures (boranes),MAT → matériaux (verres/semi) Contrôler → semi-conducteurs (dopage contrôlé) Traceur → ratios isotopiques (géochimie) CHI → chimie/procédés Abraser → abrasifs (dureté exploitée) ENV → environnement/géosciences RES → recherche fondamentale,CHI;ENV;MAT;RES
P,14,C,Carbone,6,Structurer → diamant (dureté),Modèle → structures allotropiques (multiplicité),MAT → matériaux Conduire → graphite (conduction) Traceur → ratios isotopiques (datation) EN → énergie Convertir → carburants (énergie chimique) ENV → environnement/géosciences RES → recherche fondamentale,EN;ENV;MAT;RES
P,15,N,Azote,7,Produire → ammoniac (fertilisants),Observable → flux biogéochimiques (cycle de l’azote),AGR → agriculture/sols Réagir → composés nitrés (explosifs) Modèle → fixation (enzymes) CHI → chimie/procédés Stabiliser → atmosphères contrôlées (gaz) ENV → environnement/géosciences RES → recherche fondamentale Daloze Didier Bloc Groupe Symbole Nom Z Utilisation (définition) Usage épistémique (définition) Multisecteurs (définition),AGR;CHI;ENV;RES
P,16,O,Oxygène,8,Supporter → respiration (fonction vitale),Observable → flux (cycle de l’oxygène,SAN → santé/vivant Oxyder → réactions (oxydants) photosynthèse) CHI → chimie/procédés Liquéfier → cryogénie (liquéfaction) Traceur → signatures isotopiques (paléoclimat) ENV → environnement/géosciences RES → recherche fondamentale,CHI;ENV;RES;SAN
P,17,F,Fluor,9,Stabiliser → fluorures (dentifrices),Observable → liaisons fortes (électronégativité),SAN → santé/vivant Refroidir → réfrigérants (CFC/HFC) Modèle → chimie organofluorée CHI → chimie/procédés Protéger → polymères (PTFE) MAT → matériaux RES → recherche fondamentale,CHI;MAT;RES;SAN
P,18,Ne,Néon,10,Émettre → éclairage (signes lumineux),Sonde → lignes atomiques (spectroscopie),NUM → numérique/capteurs Refroidir → cryogénie (refroidissement) Observable → inertie (gaz noble) SPA → spatial/cryo RES → recherche fondamentale,NUM;RES;SPA
S,1 (Alcalins),Na,Sodium,11,Émettre → lampes → dispositifs d’émission lumineuse,Sonde → potentiel/impédance → électrochimie,CHI → chimie/procédés (réactions/catalyse) Fournir → sels → composés ioniques (matières/électrolytes) Modèle → diffusion/migration → dynamique ionique EN → énergie (conversion/stockage/transport) Réagir → réactifs → substances déclenchant/contrôlant réactions MAT → matériaux (interfaces/dégradation) RES → recherche fondamentale,CHI;EN;MAT;RES
S,2 (Alcalino-terr,Mg,Magnésium,12,Structurer → alliages → métallurgie multi-éléments,Sonde → spectres → stellaire,MAT → matériaux (métallurgie) eux) Réguler → biologie → usage lié au vivant SPA → spatial/cryo (astro/contraintes) RES → recherche fondamentale,MAT;RES;SPA
P,13,Al,Aluminium,13,Structurer → alliages (métallurgie légère),Observable/Contrainte → passivation de surface (corrosion anodique),MAT → matériaux (alliages) Protéger → emballages (barrières minces) Observable → conductivité (transport électrique/thermique) EN → énergie (transport) Construire → structures (construction) SPA → spatial/cryo RES → recherche fondamentale,EN;MAT;RES;SPA
P,14,Si,Silicium,14,Contrôler → puces (semi-conducteurs),Observable → bande interdite (transport de charge),NUM → numérique/capteurs Convertir → photovoltaïque (conversion solaire) Contrôler → dopage (impuretés) EN → énergie (solaire) MAT → matériaux RES → recherche fondamentale,EN;MAT;NUM;RES
P,15,P,Phosphore,15,Produire → phosphates (fertilisants),Observable → flux environnementaux (cycle du phosphore),AGR → agriculture/sols Déclencher → ignition (allumettes) Sonde → luminescence (émission) SAN → santé/vivant Structurer → biomolécules (ADN/ATP) CHI → chimie/procédés RES → recherche fondamentale,AGR;CHI;RES;SAN
P,16,S,Soufre,16,Produire → acide sulfurique (fertilisants/procédés),Observable → flux géochimiques (cycle du soufre),AGR → agriculture/sols Modifier → caoutchouc (vulcanisation) Sonde → réactions acide/base (mesurables) CHI → chimie/procédés MAT → matériaux RES → recherche fondamentale Daloze Didier Bloc Groupe Symbole Nom Z Utilisation (définition) Usage épistémique (définition) Multisecteurs (définition),AGR;CHI;MAT;RES
P,17,Cl,Chlore,17,Désinfecter → eau potable,Sonde → réactions redox (halogènes),CHI → chimie/procédés Structurer → polymères (PVC) Observable → cycle chlorure SAN → santé/vivant Réagir → synthèse (réactifs) MAT → matériaux RES → recherche fondamentale,CHI;MAT;RES;SAN
P,18,Ar,Argon,18,Protéger → atmosphère inerte (soudage),Observable → faible réactivité (gaz noble),CHI → chimie/procédés Isoler → fenêtres (double vitrage) Traceur → isotopes (datation) MAT → matériaux ENV → environnement/géosciences RES → recherche fondamentale,CHI;ENV;MAT;RES
S,1 (Alcalins),K,Potassium,19,Fertiliser → fertilisants → intrants modifiant disponibilité nutriments,Sonde → signal électrique → potentiel d’action,AGR → agriculture/sols (intrants) Réguler → biologie → usage lié au vivant (structure/fonction) Sonde → redox/ions → bioélectrochimie SAN → santé/vivant (physiologie) CHI → chimie/procédés (interfaces) RES → recherche fondamentale,AGR;CHI;RES;SAN
S,2 (Alcalino-terr,Ca,Calcium,20,Construire → construction → matériaux et mise en œuvre pour,Modèle → flux messagers → signalisation,SAN → santé/vivant (cellulaire) eux) ouvrages MAT → matériaux (construction) Réguler → biologie → usage lié au vivant RES → recherche fondamentale,MAT;RES;SAN
D,3,Sc,Scandium,21,Structurer → alliages → métallurgie multi-éléments,Sonde → diffraction → cristallographie,MAT → matériaux SPA → spatial/cryo (alliages strat.) RES → recherche fondamentale,MAT;RES;SPA
